2025-08-24 15:32:28 | INFO     | interview-agent | demo_agent.py:125 | Silero VAD prewarmed
2025-08-24 15:32:28 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:32:28 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:32:28 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:32:28 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:32:28 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:32:28 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:32:28 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:32:28 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:32:28 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:32:28 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:32:28 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:32:28 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:34:32 | INFO     | interview-agent | demo_agent.py:150 | Usage summary: UsageSummary(llm_prompt_tokens=6502, llm_prompt_cached_tokens=1024, llm_completion_tokens=312, tts_characters_count=1225, tts_audio_duration=66.88020833333337, stt_audio_duration=120.09999999999972)
2025-08-24 15:43:10 | INFO     | interview-agent | demo_agent.py:185 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:43:10 | INFO     | interview-agent | demo_agent.py:136 | Silero VAD prewarmed
2025-08-24 15:43:10 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:43:10 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:43:10 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:43:10 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:43:10 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:43:10 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:43:10 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:43:10 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:43:10 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:43:10 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:43:10 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:43:10 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:44:22 | INFO     | interview-agent | demo_agent.py:161 | Usage summary: UsageSummary(llm_prompt_tokens=3812, llm_prompt_cached_tokens=0, llm_completion_tokens=133, tts_characters_count=634, tts_audio_duration=35.48016666666663, stt_audio_duration=70.04999999999986)
2025-08-24 15:53:40 | INFO     | interview-agent | demo_agent.py:188 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:53:40 | INFO     | interview-agent | demo_agent.py:139 | Silero VAD prewarmed
2025-08-24 15:53:40 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:53:40 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:53:40 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:53:40 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:53:40 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:53:40 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:53:40 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:53:40 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:53:40 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:53:40 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:53:40 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:53:40 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:56:40 | INFO     | interview-agent | demo_agent.py:164 | Usage summary: UsageSummary(llm_prompt_tokens=1062, llm_prompt_cached_tokens=0, llm_completion_tokens=8, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=175.3999999999997)
2025-08-24 15:56:53 | INFO     | interview-agent | demo_agent.py:188 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:56:53 | INFO     | interview-agent | demo_agent.py:139 | Silero VAD prewarmed
2025-08-24 15:56:54 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:56:54 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:56:54 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:56:54 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:56:54 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:56:54 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:56:54 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:56:54 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:56:54 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:56:54 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:56:54 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:56:54 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:58:00 | INFO     | interview-agent | demo_agent.py:164 | Usage summary: UsageSummary(llm_prompt_tokens=2142, llm_prompt_cached_tokens=0, llm_completion_tokens=40, tts_characters_count=158, tts_audio_duration=8.760041666666668, stt_audio_duration=64.99999999999987)
2025-08-24 15:58:14 | INFO     | interview-agent | demo_agent.py:188 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:58:14 | INFO     | interview-agent | demo_agent.py:139 | Silero VAD prewarmed
2025-08-24 15:58:14 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:58:14 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:58:14 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:58:14 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:58:14 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:58:14 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:58:14 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:58:14 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:58:14 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:58:14 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:58:14 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:58:14 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 16:05:28 | INFO     | interview-agent | demo_agent.py:164 | Usage summary: UsageSummary(llm_prompt_tokens=5896, llm_prompt_cached_tokens=5504, llm_completion_tokens=421, tts_characters_count=1931, tts_audio_duration=102.40016666666654, stt_audio_duration=430.69999999999953)
2025-08-24 16:05:40 | INFO     | interview-agent | demo_agent.py:190 | Starting LiveKit Interview Agent Worker...
2025-08-24 16:05:40 | INFO     | interview-agent | demo_agent.py:141 | Silero VAD prewarmed
2025-08-24 16:05:40 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
